Continent,Country,Capital
Africa,Algeria,Algiers
Africa,Angola,Luanda
Africa,Benin,Porto-Novo	
Africa,Botswana,Gaborone
Africa,Burkina,Ouagadougou	
Africa,Burundi,Bujumbura
Africa,Cameroon,Yaoundé
Africa,Cape Verde,Praia	
Africa,Central African Republic,Bangui
Africa,Chad,N'Djamena
Africa,Comoros,Moroni
Africa,Democratic Republic of Congo,Kinshasa
Africa,Djibouti,Djibouti
Africa,Egypt,Cairo
Africa,Equatorial Guinea,Malabo
Africa,Eritrea,Asmara
Africa,Ethiopia,Addis Ababa
Africa,Gabon,Libreville
Africa,Gambia,Banjul
Africa,Ghana,Accra
Africa,Guinea,Conakry
Africa,Guinea-Bissau,Bissau
Africa,Ivory Coast,Yamoussoukro
Africa,Kenya,Nairobi
Africa,Lesotho,Maseru
Africa,Liberia,Monrovia
Africa,Libya,Tripoli
Africa,Madagascar,Antananarivo
Africa,Malawi,Lilongwe
Africa,Mali,Bamako
Africa,Mauritania,Nouakchott
Africa,Mauritius,Port Louis
Africa,Morocco,Rabat
Africa,Mozambique,Maputo
Africa,Namibia,Windhoek
Africa,Niger,Niamey
Africa,Nigeria,Abuja
Africa,Rwanda,Kigali
Africa,Sao Tome and Principe,Sao Tome
Africa,Senegal,Dakar
Africa,Seychelles,Victoria
Africa,Sierra Leone,Freetown
Africa,Somalia,Mogadishu
Africa,South Africa,Pretoria
Africa,South Sudan,Juba
Africa,Sudan,Khartoum
Africa,Swaziland,Mbabane
Africa,Tanzania,Dodoma
Africa,Togo,Lomé
Africa,Tunisia,Tunis
Africa,Uganda,Kampala
Africa,Zambia,Lusaka
Africa,Zimbabwe,Harare
Asia,Afghanistan,Kabul
Asia,Bahrain,Manama
Asia,Bangladesh,Dhaka
Asia,Bhutan,Thimphu
Asia,Brunei,Bandar Seri Begawan
Asia,Myanmar,Naypyidaw
Asia,Cambodia,Phnom Penh
Asia,China,Beijing
Asia,East Timor,Dili
Asia,Hong Kong,Depends
Asia,India,New Delhi
Asia,Indonesia,Jakarta
Asia,Iran,Tehran
Asia,Iraq,Baghdad
Asia,Israel,Jerusalem
Asia,Japan,Tokyo
Asia,Jordan,Amman
Asia,Kazakhstan,Astana
Asia,North Korea,Pyongyang
Asia,South Korea,Seoul
Asia,Kuwait,Kuwait City
Asia,Kyrgyzstan,Bishkek
Asia,Laos,Vientiane
Asia,Lebanon,Beirut
Asia,Malaysia,Federal Territory of Kuala Lumpur
Asia,Maldives,Malé
Asia,Mongolia,Ulaanbaatar
Asia,Nepal,Kathmandu
Asia,Oman,Muscat
Asia,Pakistan,Islamabad
Asia,Philippines,Manila
Asia,Qatar,Doha
Asia,Russia,Moscow
Asia,Saudi Arabia,Riyadh
Asia,Singapore,Singapore
Asia,Sri Lanka,Sri Jayewardenepura Kotte - Colombo
Asia,Syria,Damascus
Asia,Taiwan,Taipei City
Asia,Tajikistan,Dushanbe
Asia,Thailand,Bangkok
Europe,Turkey,Ankara
Asia,Turkmenistan,Ashgabat
Asia,United Arab Emirates,Abu Dhabi
Asia,Uzbekistan,Tashkent
Asia,Vietnam,Hanoi
Asia,Yemen,Sana'a
Europe,Albania,Tirana
Europe,Andorra,Andorra la Vella
Europe,Armenia,Yerevan
Europe,Austria,Vienna
Europe,Azerbaijan,Baku
Europe,Belarus,Minsk
Europe,Belgium,Brussels
Europe,Bosnia and Herzegovina,Sarajevo
Europe,Bulgaria,Sofia
Europe,Croatia,Zagreb
Europe,Cyprus,Nicosia
Europe,Czechia,Prague
Europe,Denmark,Copenhagen
Europe,Estonia,Tallinn
Europe,Finland,Helsinki
Europe,France,Paris
Europe,Georgia,Tbilisi
Europe,Germany,Berlin
Europe,Greece,Athens
Europe,Hungary,Budapest
Europe,Iceland,Reykjavík
Europe,Ireland,Dublin
Europe,Italy,Rome
Europe,Latvia,Riga
Europe,Liechtenstein,Vaduz
Europe,Lithuania,Vilnius
Europe,Luxembourg,Luxembourg
Europe,Macedonia,Skopje
Europe,Malta,Valletta
Europe,Moldova,Chișinău
Europe,Monaco,Monaco
Europe,Montenegro,Podgorica
Europe,Netherlands,Amsterdam
Europe,Norway,Oslo
Europe,Poland,Warsaw
Europe,Portugal,Lisbon
Europe,Romania,Bucharest
Europe,San Marino,San Marino
Europe,Serbia,Belgrade
Europe,Slovakia,Bratislava
Europe,Slovenia,Ljubljana
Europe,Spain,Madrid
Europe,Sweden,Stockholm
Europe,Switzerland,Bern
Europe,Ukraine,Kyiv
Europe,United Kingdom,London
Europe,Vatican City,Vatican City
North America,Antigua and Barbuda,Saint John's
North America,Bahamas,Nassau
North America,Barbados,Bridgetown
North America,Belize,Belmopan
North America,Canada,Ottawa
North America,Costa Rica,San José
North America,Cuba,Havana
North America,Dominica,Roseau
North America,Dominican Republic,Santo Domingo
North America,El Salvador,San Salvador
North America,Grenada,Saint George's
North America,Guatemala,Guatemala City
North America,Haiti,Port-au-Prince
North America,Honduras,Tegucigalpa
North America,Jamaica,Kingston
North America,Mexico,Mexico City
North America,Nicaragua,Managua
North America,Panama,Panama City
North America,Saint Kitts and Nevis,Basseterre
North America,Saint Lucia,Castries
North America,Saint Vincent and the Grenadines,Kingstown
North America,Trinidad and Tobago,Port of Spain
North America,United States,Washington
Oceania,Australia,Canberra
Oceania,Fiji,Suva
Oceania,Kiribati,Tarawa
Oceania,Marshall Islands,Majuro
Oceania,Micronesia,Palikir
Oceania,Nauru,Yaren
Oceania,New Zealand,Wellington
Oceania,Palau,Ngerulmud
Oceania,Papua New Guinea,Port Moresby
Oceania,Samoa,Apia
Oceania,Solomon Islands,Honiara
Oceania,Tonga,Nuku'alofa
Oceania,Tuvalu,Funafuti
Oceania,Vanuatu,Port Vila
South America,Argentina,Buenos Aires
South America,Bolivia,Tiwanaku 
South America,Brazil,Brasília
South America,Chile,Santiago
South America,Colombia,Bogotá
South America,Ecuador,Quito
South America,Guyana,Georgetown
South America,Paraguay,Asunción
South America,Peru,Lima
South America,Suriname,Paramaribo
South America,Uruguay,Montevideo
South America,Venezuela,Caracas
